English,French
immersive virtual reality,réalité virtuelle immersive
Bayesian approach,méthode bayésienne
user interaction,interaction avec l’utilisateur
virtual representation,représentation virtuelle
augmented reality interface,interface de réalité augmentée
simulation environment,environnement de simulation
virtual reality company,entreprise de réalité virtuelle
immersive virtual environment,environnement virtuel immersif
software layer attack,attaque de la couche logicielle
virtual reality research,recherche en réalité virtuelle
augmented reality research,recherche en réalité augmentée
encrypted data,données chiffrées
perceptual system,système perceptif
screen door effect,effet de grille
blockchain distribution network,réseau de distribution de chaînes de blocs
sensory input,entrée sensorielle
state machine approach,approche de la machine à état
transaction validation,validation des opérations
computational model,modèle calculatoire
computational theory,théorie du calcul
broadcast attack,attaque par diffusion
collision attack,attaque de collision
broadcasted packet,paquet diffusé
spoofed routing information,falsification des informations de routage
extended reality training,formation en réalité étendue
test,examen
